Date,Track,Race,Plc,Rug,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,Sire,Dam,SP
"Saturday, May 10",Ballarat (VIC),10,4,Rug 4,Hot Spot (4),Katrina Evans,22.64,5.36,8.67,M33,26.1kg,Feral Franky,Dreaming,$24.00
"Saturday, May 10",Ballarat (VIC),10,5,Rug 5,Is He Lee (5),Troy Hammerstein,22.74,6.89,8.85,S76,33.8kg,Feral Franky,Absolute Stella,$24.80
"Saturday, May 10",Ballarat (VIC),10,6,Rug 2,Austin Texas (2),Troy Deglaitis,22.91,9.30,8.78,S55,35.1kg,Aston Rupee,Voltage Spike,$15.50
"Saturday, May 10",Ballarat (VIC),10,7,Rug 6,King Bruno (6),Jason Wickham,23.12,12.23,8.78,M67,35.9kg,My Bro Fabio,Fair Of Face,$4.70
"Saturday, May 10",Ballarat (VIC),10,8,Rug 7,Serenity Girl (7),Sally Cassar,23.14,12.59,8.95,M88,25.6kg,Fernando Bale,Just Terms,$10.40
"Saturday, May 10",Ballarat (VIC),10,SCR,Rug 9,Bonded,Ronald Martin,,,,,,Aston Rupee,My Dewana Penny,
"Saturday, May 10",Ballarat (VIC),10,SCR,Rug 10,Invictus Harmony,Kelvin Browney,,,,,,Beast Unleashed,Invictus Sybil,
"Saturday, May 10",Ballarat (VIC),11,1,Rug 6,Condah Express (6),Mark Keane,22.22,0.00,8.43,M11,27.8kg,Zack Monelli,Won't Stop Her,$10.60
"Saturday, May 10",Ballarat (VIC),11,2,Rug 8,Aston Gleam (8),Christian Roberts,22.23,0.10,8.52,S22,31.7kg,Hooked On Scotch,Aston Glow,$1.70
"Saturday, May 10",Ballarat (VIC),11,3,Rug 2,Two Bays (2),Debbie Bewley,22.54,4.50,8.62,M33,31.5kg,Jungle Deuce,Ebby Brae,$5.80
"Saturday, May 10",Ballarat (VIC),11,4,Rug 4,Maybe Spaghetti (4),Peter Fulton,22.84,8.76,8.77,M65,29.5kg,Fernando Bale,Sixteen Pegs,$39.00
"Saturday, May 10",Ballarat (VIC),11,5,Rug 7,Aston Washington (7),Belle Tabb,22.88,9.33,8.70,M57,25.0kg,Aston Dee Bee,Aston Corinna,$8.80
"Saturday, May 10",Ballarat (VIC),11,6,Rug 3,Aldren Bale (3),Catherine Roberts,22.93,10.09,8.77,M74,31.7kg,Konomi,Dyna Uni,$15.00
"Saturday, May 10",Ballarat (VIC),11,7,Rug 5,Wairua's Way (5),Danielle Keane,23.04,11.70,8.69,M46,28.3kg,Federal Morgan,Nana's Habit,$20.60
"Saturday, May 10",Ballarat (VIC),11,8,Rug 10,Moraine Grace (1),Glenn Judd,23.14,13.11,8.98,M88,27.3kg,Koblenz,Moraine Coco,$10.80
"Saturday, May 10",Ballarat (VIC),11,SCR,Rug 1,Soda Duke,Briana Robertson -Leech,,,,,,Fernando Bale,Soda Girl,
"Saturday, May 10",Ballarat (VIC),11,SCR,Rug 9,Sweet Alessia,Tony Salpigtidis,,,,,,Fernando Bale,Hardaway Winnie,
"Saturday, May 10",Ballarat (VIC),12,1,Rug 8,Collinda Pearl (8),Jordan McQuillen,22.56,0.00,8.55,Q11,26.9kg,Aussie Infrared,She's A Collinda,$14.30
"Saturday, May 10",Ballarat (VIC),12,2,Rug 6,Max Kane (6),Wendy Hansen,22.67,1.57,8.76,M35,32.0kg,Aussie Infrared,Kaela Star,$13.20
"Saturday, May 10",Ballarat (VIC),12,3,Rug 3,Take Notice (3),Julie-Anne Hopper,22.70,2.03,8.73,Q23,29.8kg,Aston Dee Bee,Uptown Trixie,$2.60
"Saturday, May 10",Ballarat (VIC),12,4,Rug 1,Lucy Jane (1),Gary Hunt,22.74,2.53,8.81,M42,25.6kg,Tommy Shelby,Ivy Wren,$9.80
"Saturday, May 10",Ballarat (VIC),12,5,Rug 5,Demolish (5),Debbie Bewley,22.81,3.57,8.92,M66,26.5kg,My Redeemer,Harper's Girl,$2.00
"Saturday, May 10",Ballarat (VIC),12,6,Rug 7,Jeff The Man (7),John Frewin,23.01,6.41,8.81,M54,28.8kg,My Redeemer,Mimstar,$49.50
"Saturday, May 10",Ballarat (VIC),12,7,Rug 2,Zero Monster (2),Dean Elliot,23.08,7.36,8.95,S77,25.7kg,Fernando Bale,Fabriola Zero,$23.50
"Saturday, May 10",Ballarat (VIC),12,8,Rug 4,Gary Knew It (4),Kathryne Tabb,23.26,10.03,9.04,M88,28.4kg,Fernando Bale,Anastasia,$90.90
"Saturday, May 10",Ballarat (VIC),12,SCR,Rug 9,Aston Ryan,Marcus Lloyd,,,,,,Hooked On Scotch,Aston Glow,
"Saturday, May 10",Ballarat (VIC),12,SCR,Rug 10,Paw Jolyn,Luke Harris,,,,,,Christo Bale,Dyna Uni,
"Saturday, May 10",Cannington (WA),1,1,Rug 1,Stroll (1),Paul Stuart,30.04,0.00,5.57,1111,,Aston Dee Bee,Starlight Yoyo,$0.00
"Saturday, May 10",Cannington (WA),1,2,Rug 6,Sunset Diablo (6),David Hobby,30.18,2.00,5.60,2222,,Zack Monelli,Ruby Monelli,$0.00
"Saturday, May 10",Cannington (WA),1,3,Rug 3,Speedy Pongo (3),Enzo Crudeli,30.39,5.00,5.62,4333,,Aussie Infrared,Akachi,$0.00
"Saturday, May 10",Cannington (WA),1,4,Rug 2,Incredible Lord (2),Frances Farrell,30.58,7.75,5.74,7666,,Koblenz,Incredible Dream,$0.00
"Saturday, May 10",Cannington (WA),1,5,Rug 7,Nash Mash (7),Joe Dailly,30.60,8.00,5.71,6555,,Sh Avatar,Nessa's Yasmin,$0.00
"Saturday, May 10",Cannington (WA),1,6,Rug 5,Legs Eleven (5),Paul Kaltsis,30.65,8.75,5.60,3777,,Aussie Infrared,Vicki's Queen,$0.00
"Saturday, May 10",Cannington (WA),1,7,Rug 8,Le Castellet (8),Brodie Kirby,30.71,9.50,5.64,5444,,Bernardo,Rapido Lass,$0.00
"Saturday, May 10",Cannington (WA),1,8,Rug 4,Just Must (4),Peter Glenny,30.78,10.50,5.77,8888,,Hard Style Rico,Starry,$0.00
"Saturday, May 10",Cannington (WA),1,SCR,Rug 9,Knight Fright,Michael Rylands,,,,,,My Redeemer,Ainsley Bale,
"Saturday, May 10",Cannington (WA),1,SCR,Rug 10,West On Ricky,Christopher Halse,,,,,,Kinloch Brae,Times Square,
"Saturday, May 10",Cannington (WA),2,1,Rug 8,Burnt Passion (8),Christopher Halse,29.70,0.00,5.47,1111,,Benali,Burning Passion,$0.00
"Saturday, May 10",Cannington (WA),2,2,Rug 1,Whisper Bark (1),Krystal Shinners,30.20,7.00,5.57,3222,,Aston Dee Bee,Miss America,$0.00
"Saturday, May 10",Cannington (WA),2,3,Rug 3,Sunset Owlet (3),David Hobby,30.24,7.50,5.72,6555,,Zack Monelli,Ruby Monelli,$0.00
"Saturday, May 10",Cannington (WA),2,4,Rug 7,Mrs. Nesbit (7),Adam Smithson,30.26,7.75,5.57,2334,,Aston Dee Bee,Panadero Opal,$0.00
"Saturday, May 10",Cannington (WA),2,5,Rug 2,Ritza Power (2),Benjamin Maclean,30.26,7.78,5.62,4443,,Fernando Bale,Ritza Vonnie,$0.00
"Saturday, May 10",Cannington (WA),2,6,Rug 4,Sky Reign (4),Kirsty Moore,30.43,10.28,5.73,7666,,Aston Rupee,Blazing Cartier,$0.00
"Saturday, May 10",Cannington (WA),2,7,Rug 5,Jai Bubba (5),Joe Dailly,30.54,11.78,5.66,5777,,Sh Avatar,Nessa's Yasmin,$0.00
"Saturday, May 10",Cannington (WA),2,SCR,Rug 6,Jayde Mccool,May Leach,,,,,,Wow,Sandave Dixi,
"Saturday, May 10",Cannington (WA),3,1,Rug 3,Giacomo (3),Christopher Halse,29.71,0.00,5.50,1111,,Feral Franky,Tilly Lee,$0.00
"Saturday, May 10",Cannington (WA),3,2,Rug 7,Bezzecchi (7),Paul Stuart,29.75,0.50,5.73,7544,,Bernardo,Starlight Yoyo,$0.00
"Saturday, May 10",Cannington (WA),3,3,Rug 8,Spooky Hook (8),Andrew Mclaren,30.03,4.50,5.65,5433,,My Redeemer,Westdale Anne,$0.00
"Saturday, May 10",Cannington (WA),3,4,Rug 2,Shima Dream (2),Joe Dailly,30.11,5.75,5.59,3222,,Bernardo,Shima Song,$0.00
"Saturday, May 10",Cannington (WA),3,5,Rug 4,Shy Emoji (4),David Hobby,30.20,7.00,5.62,4765,,Sunset Spitfire,Corona Monelli,$0.00
"Saturday, May 10",Cannington (WA),3,6,Rug 6,Rare Speed (6),Kody Charles,30.23,7.50,5.67,6676,,Bernardo,On The Runway,$0.00
"Saturday, May 10",Cannington (WA),3,7,Rug 1,Rippin' Moses (1),Shayne Williams,30.24,7.56,5.52,2357,,Bernardo,Rippin' Memphis,$0.00
"Saturday, May 10",Cannington (WA),3,SCR,Rug 5,Wise Barra,Christopher Halse,,,,,,Tommy Shelby,Graceful Light,
"Saturday, May 10",Cannington (WA),4,1,Rug 7,Panadero Magic (7),Adam Smithson,34.76,0.00,9.83,32222,,Aston Dee Bee,Panadero Opal,$0.00
"Saturday, May 10",Cannington (WA),4,2,Rug 3,Page One News (3),Kody Charles,34.80,0.50,9.66,11111,,Fernando Bale,Front Page News,$0.00
"Saturday, May 10",Cannington (WA),4,3,Rug 5,All About Coal (5),Darren Rowe,34.88,1.75,9.94,23333,,Zack Monelli,Camelia Monelli,$0.00
"Saturday, May 10",Cannington (WA),4,4,Rug 4,Vinales (4),Paul Stuart,34.93,2.50,9.94,44444,,Bernardo,Starlight Yoyo,$0.00
"Saturday, May 10",Cannington (WA),4,5,Rug 1,Loan Shark (1),Christopher Halse,35.09,4.75,10.03,55555,,West On Augie,West On Violet,$0.00
"Saturday, May 10",Cannington (WA),4,6,Rug 2,West On Ace (2),Christopher Halse,35.17,6.00,10.14,66666,,West On Augie,West On Violet,$0.00
"Saturday, May 10",Cannington (WA),4,7,Rug 8,Our Girl Jess (8),Francis Lowry,35.23,6.75,10.31,88777,,Sennachie,Hazlehurst,$0.00
"Saturday, May 10",Cannington (WA),4,8,Rug 6,Vista Cadmium (6),Paul Kaltsis,35.67,13.00,10.27,77888,,Aston Rupee,Gypsy Vista,$0.00
"Saturday, May 10",Cannington (WA),4,SCR,Rug 9,West On Prancer,Christopher Halse,,,,,,West On Augie,West On Violet,
"Saturday, May 10",Cannington (WA),4,SCR,Rug 10,Coco Shimmer,Jamie Marsh,,,,,,Bernardo,Bella Shima,
"Saturday, May 10",Cannington (WA),5,1,Rug 2,Sunset Capone (2),David Hobby,30.07,0.00,5.51,1111,,Aston Rupee,Sunset Wildfire,$0.00
"Saturday, May 10",Cannington (WA),5,2,Rug 5,Aston Bollinger (5),Kody Charles,30.12,0.75,5.52,2222,,Aussie Infrared,Fantastic Dotty,$0.00
"Saturday, May 10",Cannington (WA),5,3,Rug 3,Sunset Serengeti (3),David Hobby,30.17,1.50,5.62,4433,,Hard Style Rico,Sunset Kodiak,$0.00
"Saturday, May 10",Cannington (WA),5,4,Rug 7,Arbolino (7),Paul Stuart,30.26,2.75,5.73,8666,,Bernardo,Starlight Yoyo,$0.00
"Saturday, May 10",Cannington (WA),5,5,Rug 1,Another James (1),Michael Johnston,30.32,3.50,5.61,3344,,Sennachie,Hazlehurst,$0.00
"Saturday, May 10",Cannington (WA),5,6,Rug 6,Oregon Durant (6),Timothy Gummow,30.39,4.50,5.66,5555,,Need My Moneynow,La La Oregon,$0.00
"Saturday, May 10",Cannington (WA),5,7,Rug 8,Gimli (8),Jamie Marsh,30.63,8.00,5.67,6877,,Fernando Bale,Scootaloo,$0.00
"Saturday, May 10",Cannington (WA),5,8,Rug 4,Premium Star (4),Christopher Halse,30.78,10.25,5.67,7788,,Premium Share,Veyron Star,$0.00
"Saturday, May 10",Cannington (WA),5,SCR,Rug 9,Lady Sherwood,Corey White,,,,,,Fernando Bale,Sequana,
"Saturday, May 10",Cannington (WA),5,SCR,Rug 10,Zipping Maradona,Cosimo Dagostino,,,,,,Zack Monelli,Zipping Fleur,
"Saturday, May 10",Cannington (WA),6,1,Rug 8,Iron Works (8),Paul Stuart,41.50,0.00,5.72,22111,,Aussie Infrared,Poise,$0.00
"Saturday, May 10",Cannington (WA),6,2,Rug 4,Hippy Trail (4),Christopher Halse,42.54,14.75,5.87,55554,,Tommy Shelby,West On Violet,$0.00
"Saturday, May 10",Cannington (WA),6,3,Rug 1,Cool Ash (1),Cosimo Dagostino,42.55,14.81,5.63,11222,,Dyna Double One,Nana's Habit,$0.00
"Saturday, May 10",Cannington (WA),6,4,Rug 2,Coco Shimmer (2),Jamie Marsh,42.62,15.81,5.77,44443,,Bernardo,Bella Shima,$0.00
"Saturday, May 10",Cannington (WA),6,5,Rug 3,Ballistic Bliss (3),Enzo Crudeli,42.64,16.06,5.74,33335,,Koblenz,West On Magada,$0.00
"Saturday, May 10",Cannington (WA),6,6,Rug 6,Heather's Pick (6),Cosimo Dagostino,42.72,17.31,5.92,77666,,Aussie Infrared,Jett's Cracker,$0.00
"Saturday, May 10",Cannington (WA),6,6,Rug 7,Pepper Grinder (7),Aaron Brown,42.72,17.31,5.87,66887,,Zack Monelli,Moto Doll,$0.00
"Saturday, May 10",Cannington (WA),6,8,Rug 5,Jamarra (5),Paul Kaltsis,42.85,19.06,5.98,88778,,Zambora Brockie,Nordegren,$0.00
"Saturday, May 10",Cannington (WA),7,1,Rug 7,Rhythmic Moment (7),Joe Dailly,29.86,0.00,5.52,1111,,Tommy Shelby,Moment To Twelve,$0.00
"Saturday, May 10",Cannington (WA),7,2,Rug 2,Sunset Lightfoot (2),David Hobby,30.00,2.00,5.56,2222,,Aston Rupee,Sunset Wildfire,$0.00
"Saturday, May 10",Cannington (WA),7,3,Rug 5,Crooked Kelly (5),Adam Smithson,30.12,3.75,5.58,3333,,Zack Monelli,Starlight Asha,$0.00
"Saturday, May 10",Cannington (WA),7,4,Rug 1,Sunset Worm (1),David Hobby,30.24,5.50,5.59,4444,,Whiskey Riot,Sunset Kodiak,$0.00
"Saturday, May 10",Cannington (WA),7,5,Rug 8,Sunset Lasso (8),David Hobby,30.62,11.00,5.64,5555,,Hard Style Rico,Sunset Kodiak,$0.00
"Saturday, May 10",Cannington (WA),7,6,Rug 3,Go Gettem Nelly (3),Ben Abercrombie,31.37,21.75,5.69,7666,,Superior Panama,Toodle Lou,$0.00
"Saturday, May 10",Cannington (WA),7,7,Rug 4,Kryptonite (4),Corey White,31.39,22.00,5.76,8777,,Aussie Infrared,Scott Something,$0.00
"Saturday, May 10",Cannington (WA),7,8,Rug 6,Lochinvar Hawk (6),Shayne Williams,31.68,26.25,5.67,6888,,Fernando Bale,Sorry Scott,$0.00
"Saturday, May 10",Cannington (WA),7,SCR,Rug 9,Lady Sherwood,Corey White,,,,,,Fernando Bale,Sequana,
"Saturday, May 10",Cannington (WA),7,SCR,Rug 10,Zipping Maradona,Cosimo Dagostino,,,,,,Zack Monelli,Zipping Fleur,
"Saturday, May 10",Cannington (WA),8,1,Rug 2,Ditalini Monelli (2),David Hobby,29.95,0.00,5.66,8222,,Superior Panama,Kirra Monelli,$0.00
"Saturday, May 10",Cannington (WA),8,2,Rug 3,Disco Daisy (3),Enzo Crudeli,30.10,2.25,5.55,2111,,Vanderworp,West On Lily,$0.00
"Saturday, May 10",Cannington (WA),8,3,Rug 6,Junk Yard Clyde (6),James Jeffries,30.30,5.25,5.52,1333,,Hooked On Scotch,Adele's Entity,$0.00
"Saturday, May 10",Cannington (WA),8,4,Rug 1,White Cliffs (1),Christopher Halse,30.37,6.25,5.59,4444,,Premium Share,Veyron Star,$0.00
"Saturday, May 10",Cannington (WA),8,5,Rug 5,Motor City Sonny (5),Adam Smithson,30.60,9.50,5.62,7655,,Fernando Bale,Motor City Mossy,$0.00
"Saturday, May 10",Cannington (WA),8,6,Rug 8,Sophie Keeping (8),Shayne Williams,30.73,11.25,5.62,6566,,Fernando Bale,Georgia Keeping,$0.00
"Saturday, May 10",Cannington (WA),8,7,Rug 4,Sir Tommy (4),Christopher Halse,31.22,18.25,5.56,3777,,West On Augie,West On Violet,$0.00
"Saturday, May 10",Cannington (WA),8,DNF,Rug 7,Cabramatta Pete (7),Adam Smithson,,,,5,,Fernando Bale,Motor City Mossy,
"Saturday, May 10",Cannington (WA),9,1,Rug 6,Tilly Rose (6),Michael Johnston,34.93,0.00,9.88,22111,,Fernando Bale,Rapido Lass,$0.00
"Saturday, May 10",Cannington (WA),9,2,Rug 1,Come On Mango (1),Benjamin Maclean,34.94,0.13,9.81,11222,,Fernando Bluey,Midnight Snooze,$0.00
"Saturday, May 10",Cannington (WA),9,3,Rug 2,Tommy The Lion (2),Christopher Halse,35.03,1.38,9.99,34333,,West On Augie,West On Violet,$0.00
"Saturday, May 10",Cannington (WA),9,4,Rug 8,Canya Concorde (8),Sean Kavanagh,35.13,2.88,9.98,53444,,Tommy Shelby,Wynburn Ava,$0.00
"Saturday, May 10",Cannington (WA),9,5,Rug 7,Quick Lands (7),Michael Rylands,35.24,4.38,10.25,77776,,My Redeemer,Ainsley Bale,$0.00
"Saturday, May 10",Cannington (WA),9,6,Rug 4,Brookman Ranger (4),Michael Hine,35.25,4.50,10.00,45555,,My Redeemer,Belt Up Libba,$0.00
"Saturday, May 10",Cannington (WA),9,7,Rug 3,Snappy Snacker (3),Enzo Crudeli,35.35,6.00,10.14,66667,,Koblenz,West On Magada,$0.00
"Saturday, May 10",Cannington (WA),10,1,Rug 2,Think Positive (2),Christopher Halse,30.27,0.00,5.54,1111,,Benali,Burning Passion,$0.00
"Saturday, May 10",Cannington (WA),10,2,Rug 1,Incredible King (1),Frances Farrell,30.27,0.03,5.57,2222,,Koblenz,Incredible Dream,$0.00
"Saturday, May 10",Cannington (WA),10,3,Rug 8,Canya Bypass (8),Peter Brown,30.32,0.78,5.74,7554,,Houdini Boy,Wynburn Mia,$0.00
"Saturday, May 10",Cannington (WA),10,4,Rug 6,American Indian (6),Cosimo Dagostino,30.34,1.03,5.64,3433,,Oaks Road,Anna Cotton,$0.00
"Saturday, May 10",Cannington (WA),10,5,Rug 3,Pursuit Special (3),Christine Robartson,30.56,4.03,5.67,5345,,Tommy Shelby,West On Hazel,$0.00
"Saturday, May 10",Cannington (WA),10,6,Rug 7,Starlight Tory (7),Paul Stuart,30.61,4.78,5.71,6666,,Aston Dee Bee,Starlight Yoyo,$0.00
"Saturday, May 10",Cannington (WA),10,7,Rug 4,Pure Love (4),Peter Glenny,30.75,6.78,5.65,4777,,Hard Style Rico,Bushman's Poppy,$0.00
"Saturday, May 10",Cannington (WA),11,1,Rug 8,Charlie's Pick (8),Shayne Williams,35.16,0.00,9.86,11111,,Zipping Garth,Len's Pick,$0.00
"Saturday, May 10",Cannington (WA),11,2,Rug 1,Timon Lane (1),Jamie Marsh,35.17,0.13,10.12,33333,,Superior Panama,Star Book,$0.00
"Saturday, May 10",Cannington (WA),11,3,Rug 5,Storm Alert (5),Benjamin Maclean,35.29,1.88,9.98,42222,,Premium Share,Corporate Storm,$0.00
"Saturday, May 10",Cannington (WA),11,4,Rug 7,Miss Ronnie Mac (7),Corey White,35.68,7.63,10.13,24555,,Zack Monelli,Moto Doll,$0.00
"Saturday, May 10",Cannington (WA),11,5,Rug 4,Lexi Coral (4),Christopher Halse,35.78,8.88,10.14,55444,,Kinloch Brae,Times Square,$0.00
"Saturday, May 10",Cannington (WA),11,SCR,Rug 2,Souljacker,Kirsty Moore,,,,,,Fernando Bale,Rapido Lass,
"Saturday, May 10",Cannington (WA),12,1,Rug 5,Our Benson (5),Kody Charles,21.70,0.00,6.57,422,,Tommy Shelby,Marydoll,$0.00
"Saturday, May 10",Cannington (WA),12,2,Rug 1,Dancing Dennis (1),Benjamin Maclean,21.73,0.50,6.52,211,,Good Odds Harada,Aria's The One,$0.00
"Saturday, May 10",Cannington (WA),12,3,Rug 7,Outlaw Mcgraw (7),Michael Hine,21.90,3.00,6.69,553,,Shima Shine,Nangar Diva,$0.00
"Saturday, May 10",Cannington (WA),12,4,Rug 8,Cherry Blue (8),Enzo Crudeli,22.03,4.75,6.55,345,,Sennachie,Grace Under Fire,$0.00
"Saturday, May 10",Cannington (WA),12,5,Rug 4,Paid In Full (4),Peter Glenny,22.10,5.75,6.50,134,,Hard Style Rico,Bushman's Poppy,$0.00
"Saturday, May 10",Cannington (WA),12,SCR,Rug 2,Ranger Ricksen,May Leach,,,,,,Fernando Bale,Pictor Lucy,
"Saturday, May 10",Dubbo (NSW),1,1,Rug 5,Cecily Cargo (5),Jannette Steel,23.48,0.00,9.43,451,29.9kg,Feral Franky,Suzi Cargo,$34.00
"Saturday, May 10",Dubbo (NSW),1,2,Rug 4,Panda Unleashed (4),Michael Chapman,23.63,2.00,9.46,762,35.5kg,Beast Unleashed,Usara Allen,$4.40
"Saturday, May 10",Dubbo (NSW),1,3,Rug 8,Jimmy Dollars (8),Dobrivoje Stojanov,23.63,2.00,9.32,613,30.2kg,Whiskey Riot,Show Me Dollars,$14.00
"Saturday, May 10",Dubbo (NSW),1,4,Rug 7,Small Town Jet (7),Dobrivoje Stojanov,23.73,3.50,9.42,524,34.6kg,Sennachie,Struck Opal,$13.00
"Saturday, May 10",Dubbo (NSW),1,5,Rug 2,Yathong Tiger (2),Errol Hughes,23.83,5.00,9.39,245,34.0kg,Mount Hope,Danyo's Sarah,$3.00
"Saturday, May 10",Dubbo (NSW),1,6,Rug 3,Urban Bream (3),Graham Pickering,23.90,6.00,9.60,386,24.4kg,Aussie Infrared,Dynamo's Double,$4.40
"Saturday, May 10",Dubbo (NSW),1,7,Rug 9,Valley Cash (6),Nevyl Hand,24.02,7.75,9.59,877,25.4kg,Tommy Shelby,Cash Magic,$15.00
"Saturday, May 10",Dubbo (NSW),1,8,Rug 1,Bogan Knows (1),Graham Dixon,24.09,8.75,9.45,138,33.8kg,Koblenz,Bogan Villa,$3.20
"Saturday, May 10",Dubbo (NSW),1,SCR,Rug 6,Battle Eve,Peter Parker,,,,,,Fernando Bale,Canya Lilly,
"Saturday, May 10",Dubbo (NSW),2,1,Rug 3,Zipping Ariel (3),Courtney Barnes,29.72,0.00,4.46,21111,27.7kg,Goodesy,Zipping Truvy,$1.95
"Saturday, May 10",Dubbo (NSW),2,2,Rug 1,Nangar Macie (1),Dennis Barnes,29.98,3.75,4.50,12222,23.4kg,Fernando Bale,Nangar Gold,$3.20
"Saturday, May 10",Dubbo (NSW),2,3,Rug 2,Spring Dazzler (2),Gregory Board,30.16,6.25,4.57,53333,30.7kg,Feral Franky,Spring Kono,$5.50
"Saturday, May 10",Dubbo (NSW),2,4,Rug 8,Stiff Luck (8),Brendan Mchattan,30.29,8.25,4.54,64444,31.0kg,Feral Franky,Slippery Grant,$17.00
"Saturday, May 10",Dubbo (NSW),2,5,Rug 4,Arctic Image (4),Robert Ingram,30.51,11.25,4.57,35555,24.0kg,Avalanche,Chop Suey,$17.00
"Saturday, May 10",Dubbo (NSW),2,6,Rug 6,Lumeah Nancy (6),Garry Abernethy,30.83,15.75,4.63,76666,28.4kg,Hard Style Rico,She's A Gem,$41.00
"Saturday, May 10",Dubbo (NSW),2,DNF,Rug 7,Winnability (7),Arthur Langman,,,,47777,31.7kg,Feral Franky,Paua Of Janie,
"Saturday, May 10",Dubbo (NSW),3,1,Rug 7,Whiskey Mcgraw (7),Dennis Barnes,30.14,0.00,4.65,62211,32.2kg,Feral Franky,Nangar Opal,$6.00
"Saturday, May 10",Dubbo (NSW),3,2,Rug 4,Merry Merriwa (4),Errol Hughes,30.43,4.25,4.51,13422,28.5kg,Mount Hope,Danyo's Sarah,$7.00
"Saturday, May 10",Dubbo (NSW),3,3,Rug 8,Motor City Mini (8),Trent Anderson,30.45,4.25,4.53,56533,24.8kg,Fernando Bale,Motor City Mossy,$6.50
"Saturday, May 10",Dubbo (NSW),3,4,Rug 3,Spring Witness (3),Gregory Board,30.47,4.75,4.58,35644,33.8kg,Feral Franky,Spring Kono,$9.00
"Saturday, May 10",Dubbo (NSW),3,5,Rug 1,Tracey Taro (1),Jeanette Foley,31.18,14.75,4.50,21155,30.2kg,Tommy Shelby,Queen Taro,$3.10
"Saturday, May 10",Dubbo (NSW),3,6,Rug 5,Shaq Keeping (5),Courtney Barnes,31.19,15.00,4.54,44366,35.0kg,Droopys Sydney,Caitlyn Keeping,$2.80
"Saturday, May 10",Dubbo (NSW),3,SCR,Rug 2,Blue Warning,Paul Britt,,,,,,Aston Rupee,Rapid Rival,
"Saturday, May 10",Dubbo (NSW),3,SCR,Rug 6,Alacrity Belle,Jennefer Conquest,,,,,,Barcia Bale,Chase Me Honey,
"Saturday, May 10",Dubbo (NSW),4,1,Rug 4,El Rey (4),David Pringle,30.18,0.00,4.61,44331,33.7kg,Black Magic Opal,Midnight Return,$5.00
"Saturday, May 10",Dubbo (NSW),4,2,Rug 2,Irinka Mandy (2),Raymond Smith,30.37,2.50,4.75,35442,28.9kg,Superior Panama,Irinka Molly,$7.50
"Saturday, May 10",Dubbo (NSW),4,3,Rug 6,Evander Keeping (6),Charmaine Roberts,30.38,2.75,4.63,62213,34.5kg,Droopys Sydney,Caitlyn Keeping,$1.80
"Saturday, May 10",Dubbo (NSW),4,4,Rug 1,Lumeah Brin (1),Garry Abernethy,30.40,3.00,4.71,23554,26.8kg,Brad Hill Billy,Ferrero Miss,$21.00
"Saturday, May 10",Dubbo (NSW),4,5,Rug 3,Spring Floral (3),Gregory Board,30.55,5.25,4.47,11125,27.8kg,Feral Franky,Spring Barty,$5.00
"Saturday, May 10",Dubbo (NSW),4,6,Rug 7,Let's Go Wham (7),Gary Mitchell,30.62,6.25,4.59,56666,35.3kg,Aston Rupee,Savannah,$7.00
"Saturday, May 10",Dubbo (NSW),4,SCR,Rug 8,Alacrity Riled,Mitchell Conquest,,,,,,Feral Franky,Yuko Kate,
"Saturday, May 10",Dubbo (NSW),5,1,Rug 3,Tank Keeping (3),Charmaine Roberts,29.52,0.00,4.55,33211,30.8kg,Feral Franky,Gina Keeping,$1.75
"Saturday, May 10",Dubbo (NSW),5,2,Rug 2,Motor City Chief (2),Trent Anderson,29.80,4.00,4.40,11122,29.7kg,Fernando Bale,Motor City Mossy,$7.00
"Saturday, May 10",Dubbo (NSW),5,3,Rug 1,Zipping Chetty (1),Courtney Barnes,29.83,4.25,4.55,22333,26.9kg,Aston Dee Bee,Zipping Virginia,$7.50
"Saturday, May 10",Dubbo (NSW),5,4,Rug 6,Bright Henry (6),David Pringle,30.56,14.75,4.63,75444,34.7kg,Black Magic Opal,Midnight Return,$17.00
"Saturday, May 10",Dubbo (NSW),5,5,Rug 7,No Cents (7),Renay Armstrong,31.00,21.25,4.61,54555,27.8kg,Hard Style Rico,She's A Gem,$4.40
"Saturday, May 10",Dubbo (NSW),5,6,Rug 8,Spring Laver (8),Scott Board,31.10,22.50,4.56,66666,32.9kg,Feral Franky,Spring Barty,$7.00
"Saturday, May 10",Dubbo (NSW),5,7,Rug 4,Lightning Reece (4),Nevyl Hand,31.25,24.75,4.54,47777,37.6kg,Hard Style Rico,Flying Wife,$17.00
"Saturday, May 10",Dubbo (NSW),6,1,Rug 8,Zipping Nala (8),Courtney Barnes,30.12,0.00,4.57,73111,28.0kg,Goodesy,Zipping Truvy,$3.10
"Saturday, May 10",Dubbo (NSW),6,2,Rug 3,Makati Lad (3),Sydney Swain,30.18,0.75,4.46,11322,36.5kg,Hard Style Rico,Iwo Jima,$2.90
"Saturday, May 10",Dubbo (NSW),6,3,Rug 7,Lily Bloom (7),Trent Anderson,30.47,5.00,4.60,65543,25.7kg,Fernando Bale,Motor City Mossy,$34.00
"Saturday, May 10",Dubbo (NSW),6,4,Rug 2,Strictly Limited (2),Geoffrey Kilpatrick,30.55,6.00,4.50,22234,32.3kg,Hooked On Scotch,Zheng,$7.50
